"","B cell","blood","endo1","endo2","endo3","fib1","fib2","fib3","mac1","mac2","mac3","mac4","mural/peri","nphil","T/NK cell"
"HES4",0.0538881309686221,0.122050684532479,0.147786458333333,0.851351351351351,0.294642857142857,0.322134079950226,0.0274256993006993,0.0537412153782555,0.0923921693458539,0.059686278951243,0.212360629107288,0.289360558839334,1.29942693409742,0.115735726442828,0.0281727224855187
"ISG15",0.251705320600273,0.354937372560443,0.650173611111111,0.378378378378378,0.1875,1.0127235962047,1.19372814685315,0.555808185200496,0.682914212955595,1.07661815504842,1.01912427084102,0.902471789360559,0.304202483285578,0.89795760482748,0.322450412497806
"AGRN",0.00613915416098226,0.020681619574716,0.171657986111111,0.198198198198198,0.0357142857142857,0.0417794369264271,0.0520104895104895,0.0202563042579578,0.0490609581410154,0.0383940200464352,0.0318245588126708,0.0162994805660039,0.0444126074498567,0.00232090360513693,0.00184307530279094
"TNFRSF18",0.0429740791268759,0.0187882318671716,0.00423177083333333,0.027027027027027,0,0.0317001088816301,0.020541958041958,0.00392724266225713,0.00553079738978195,0.0133642901636559,0.0364025695931477,0.00743327959878202,0,0.000386817267522822,0.178690538880112
"TNFRSF4",0.0184174624829468,0.0192251674919895,0.0764973958333333,0.400900900900901,0.0446428571428571,0.00367086638668533,0.00207604895104895,0.000413393964448119,0.0309167595097883,0.0137606886007135,0.0355165029904748,0.00286584273687981,0.000477554918815664,0.000464180721027387,0.174302264349658
"UBE2J2",0.111869031377899,0.0943780949606758,0.204210069444444,0.364864864864865,0.107142857142857,0.306610670399751,0.367897727272727,0.250930136420008,0.250119369727837,0.242595843479246,0.253562726131581,0.228192727924055,0.143266475644699,0.0167878694104905,0.112954186413902
"ACAP3",0.0252387448840382,0.0418001747742499,0.0308159722222222,0.0405405405405405,0.0267857142857143,0.107077305957381,0.101398601398601,0.107379082265399,0.075600827630113,0.0774109519225324,0.0602525289817618,0.0771986387247,0.0362941738299905,0.00324926504719171,0.0308056872037915
"CPTP",0.00750341064120055,0.0259248470725313,0.0666232638888889,0.130630630630631,0.0446428571428571,0.0444237050863276,0.0622814685314685,0.0336916081025217,0.0379595734521725,0.0368084262982049,0.021044081813483,0.0104782375067168,0.0214899713467049,0.00162463252359585,0.011409513779182
"MXRA8",0.0115961800818554,0.709292164287795,0.0150824652777778,0.018018018018018,0.0625,2.33547985689843,1.17548076923077,2.24669284828442,0.0153191150724176,0.0124016082450875,0.010042088163627,0.00806018269747448,0.217287488061127,0.00363608231471453,0.0093909074951729
"VWA1",0.000682128240109141,0.0900087387124964,1.26844618055556,0.103603603603604,0.205357142857143,0.227251516565562,0.445039335664336,0.072860686233981,0.0092710488620086,0.0137606886007135,0.00472568854758916,0.00188070929607738,0.0391595033428844,0.000773634535045644,0.00175530981218185
"MIB2",0.0416098226466576,0.0412175939411593,0.0558810763888889,0.0810810810810811,0.0357142857142857,0.0973401773215119,0.111451048951049,0.076477883422902,0.069592551328983,0.0519281952545444,0.0676364173373699,0.0691384560272255,0.0463228271251194,0.00464180721027387,0.0943479024047744
"CDK11B",0.31718963165075,0.0783571220506845,0.322808159722222,0.351351351351351,0.178571428571429,0.341919427593716,0.339816433566434,0.242972302604382,0.364356199267866,0.259980746361629,0.358561618548328,0.469013075407487,0.187679083094556,0.0640569395017794,0.354045989117079
"CDK11A",0.210095497953615,0.0533061462277891,0.255533854166667,0.247747747747748,0.142857142857143,0.216643334888785,0.216673951048951,0.178276147168251,0.263727518701257,0.199048643751062,0.255704053754707,0.314794913129142,0.114135625596944,0.0469596162772706,0.255748639634896
"GNB1",1.8137789904502,0.464462569181474,2.62966579861111,3.60810810810811,2.11607142857143,2.06150256649557,2.16378933566434,1.59497726333196,3.89606875696323,3.12679087151028,3.76711216126412,4.46695325094035,0.87440305635148,0.552607148383104,1.44900824995612
"PRKCZ",0.0368349249658936,0.0126711331197204,0.0552300347222222,0.648648648648649,0.00892857142857143,0.0165500077772593,0.0474213286713287,0.013952046300124,0.0185818876332962,0.00645563168922363,0.0235546038543897,0.105767508507971,0.00716332378223496,0.0584867708494507,0.0608214849921011
"FAAP20",0.18281036834925,0.211913778036703,0.273220486111111,0.509009009009009,0.196428571428571,0.540426193809302,0.455965909090909,0.307771806531625,0.318359064141334,0.293957755252279,0.336483792365059,0.289271001253806,0.265042979942693,0.0149311465263809,0.14604177637353
"SKI",0.504774897680764,0.222982813865424,0.9443359375,0.693693693693694,0.705357142857143,1.44299268937626,1.11658653846154,1.14582472095907,1.50744071303517,0.905543915283991,1.13276231263383,2.00922443130933,0.55730659025788,0.120222806746093,0.982359136387572
"HES5",0.000682128240109141,0.000582580833090591,0.0112847222222222,0.00900900900900901,0.0357142857142857,0.000435526520454192,0.00262237762237762,0.000723439437784208,0.000278529364953048,0.000226513392604338,0,0,0.0124164278892073,7.73634535045644e-05,8.77654906090925e-05
"TNFRSF14",0.236698499317872,0.104718904748034,0.295464409722222,0.518018018018018,0.125,0.308881630113548,0.245957167832168,0.125155022736668,0.583519019576635,0.449006172489948,0.463043638780182,0.418950385097618,0.0821394460362942,0.0602661302800557,0.225820607337195
"PRDM16",0.00204638472032742,0.00771919603845034,0.0702039930555556,0,0.0178571428571429,0.14335044330378,0.0246940559440559,0.0891897478296817,0.00692344421454719,0.00311455914830964,0.00694085505427158,0.0045674368619022,0.414995224450812,0.000309453814018258,0.000877654906090925
"TP73",0.0034106412005457,0.00101951645790853,0.00119357638888889,0,0,0.00223985067662156,0.00207604895104895,0.0010334849111203,0.00151201655260226,0.00237839062234555,0.00103374436978513,0.000895575855274942,0.000477554918815664,0,0.00272073020888187
"KCNAB2",0.244201909959072,0.0371395281095252,0.0539279513888889,0.0540540540540541,0.0535714285714286,0.0680665733395551,0.0474213286713287,0.0402025630425796,0.702371478593029,0.772184155388187,0.979251273720741,1.01997134157263,0.0205348615090735,0.0897416060652948,0.37431981744778
"ICMT",0.0204638472032742,0.0869501893387708,0.204969618055556,0.342342342342342,0.178571428571429,0.33918183232229,0.394121503496503,0.246176105828855,0.181919465223619,0.157993091341526,0.0883851436166285,0.0554361454415189,0.140401146131805,0.00139254216308216,0.0314200456380551
"ACOT7",0.0572987721691678,0.0652490533061462,0.263780381944444,0.252252252252252,0.0803571428571429,0.206688442992689,0.256118881118881,0.105932203389831,0.401161865350947,0.33523982105442,0.118954441408846,0.0611678309152785,0.0730659025787966,0.0013151787095776,0.158504476040021
"TNFRSF25",0.00750341064120055,0.0125254879114477,0.0430772569444444,0.0720720720720721,0.0178571428571429,0.0160833722196298,0.0136582167832168,0.00940471269119471,0.0195368454559924,0.00334107254091398,0.00443033301336484,0.00143292136843991,0.000477554918815664,7.73634535045644e-05,0.140951377918203
"DNAJC11",0.0818553888130969,0.0399067870667055,0.170355902777778,0.220720720720721,0.0178571428571429,0.190418416550008,0.166083916083916,0.135179826374535,0.147302244150883,0.139475621496121,0.113121169607916,0.0847214759090095,0.0974212034383954,0.00162463252359585,0.0766192733017378
"CAMTA1",0.581173260572988,0.313282842994465,1.44650607638889,1.71171171171171,1.11607142857143,1.34739461813657,1.45465472027972,0.950289375775114,1.31274868693299,1.03097570643864,1.11792069703906,0.866200967221924,1.40783190066858,0.026458301098561,0.447691767596981
"VAMP3",0.0879945429740791,0.148266822021555,0.677408854166667,0.972972972972973,0.223214285714286,0.502970913050241,0.895432692307692,0.487908226539893,0.971351265319115,0.926666289144346,0.712176031898398,0.628156904889844,0.347182425978988,0.04440662231162,0.0690714411093558
"PER3",0.0320600272851296,0.21948732886688,0.744032118055556,0.612612612612613,0.410714285714286,1.33006688442993,1.25054632867133,1.21186440677966,0.931004297310202,0.383260660286539,0.201284796573876,0.0888411248432742,0.82378223495702,0.00572489555933777,0.0754783219238195
"TNFRSF9",0.0259208731241473,0.00538887270608797,0.00325520833333333,0,0,0.0297402395395862,0.0497159090909091,0.00702769739561802,0.046554193856438,0.0210091171640523,0.0497674075167983,0.0178219595199713,0,0.00634380318737428,0.0982095839915745
"PARK7",0.804911323328786,0.927614331488494,1.20681423611111,2.63063063063063,0.5,3.16369575361643,3.79053758741259,1.81645307978504,1.10536367977081,1.09785378560507,1.33700066454995,0.999104424144725,1.33142311365807,0.0205013151787096,0.670879410215903
"ERRFI1",0.0572987721691678,0.40868045441305,0.305772569444444,0.486486486486487,0.633928571428571,4.26100482190076,11.7378715034965,1.21682513435304,0.586344103135445,0.244634464012685,0.265155430849886,0.144098155113738,0.699140401146132,0.0149311465263809,0.12480252764613
"RERE",1.80900409276944,0.378386251092339,3.11773003472222,4.20720720720721,2.51785714285714,2.33146679110282,2.44951923076923,1.77728400165358,3.8631625019895,1.66815787983465,2.05050579635236,1.9228013612753,1.13037249283668,0.150471917066378,1.13199929787608
"ENO1",0.64256480218281,1.15525779201864,1.79578993055556,2.5045045045045,0.294642857142857,3.35473635090994,5.45268793706294,2.23243075651096,2.94723858029604,5.58253581743021,5.76223879494942,3.7045495253448,0.69388729703916,0.133606684202383,0.848604528699315
"SLC2A5",0.0416098226466576,0.0782114768424119,0.00694444444444444,0.0045045045045045,0,0.45042774926116,0.795673076923077,0.0618023976849938,0.311236670380392,0.302282122430489,0.22380565605848,0.0712878380798854,0.00764087870105062,0.00278508432616432,0.00412497805862735
"H6PD",0.0450204638472033,0.111709874745121,0.340060763888889,0.234234234234234,0.1875,0.716938870741951,0.413243006993007,0.4312732534105,0.249522521088652,0.189818223002435,0.170715498781658,0.135321511732044,0.103151862464183,0.00773634535045644,0.0487098472880463
"SPSB1",0.0675306957708049,0.108068744538305,0.612521701388889,0.990990990990991,0.125,1.39346710219319,1.00688374125874,1.11730053741215,0.0918351106159478,0.106348037827737,0.147677767112161,0.220311660397636,0.130372492836676,0.00510598793130125,0.0934702474986835
"PIK3CD",0.29331514324693,0.0205359743664433,0.0190972222222222,0.0405405405405405,0.0446428571428571,0.0493700419972002,0.0233828671328671,0.024286895411327,0.273117937291103,0.230364120278611,0.184301853355977,0.361364857603439,0.0234001910219675,0.198514621692712,0.600403721256802
"CLSTN1",0.143929058663029,0.152636178269735,0.414171006944444,0.382882882882883,0.375,0.654938559651579,0.804742132867133,0.568933443571724,0.345933471271685,0.284444192762897,0.297866056265229,0.274941787569407,0.222540592168099,0.00642116664087885,0.311128664209233
"CTNNBIP1",0.0457025920873124,0.0685988930964171,0.214084201388889,0.144144144144144,0.723214285714286,0.189982890029554,0.15111451048951,0.120194295163291,0.282826675155181,0.221020442833683,0.277708041054419,0.208848289450116,0.0711556829035339,0.00719480117592449,0.0581007547832192
"UBE4B",0.260572987721692,0.122924555782115,0.5458984375,0.774774774774775,0.464285714285714,0.676403795302535,0.643138111888112,0.538755684167011,0.758634410313545,0.70859052041452,0.49678800856531,0.413756045137023,0.326647564469914,0.0976326783227603,0.351851851851852
"KIF1B",0.262619372442019,0.373871249635887,1.279296875,1.31081081081081,1.02678571428571,2.9872764037953,4.01496940559441,2.13507647788342,9.50107432755053,5.11387960813183,4.80307169755593,3.84372201325452,0.580229226361031,0.501005724895559,0.406354221520098
"PGD",0.10300136425648,0.102534226623944,0.145399305555556,0.198198198198198,0.0803571428571429,0.448872297402395,0.414554195804196,0.417217858619264,1.01384688842909,0.976216093776545,0.63545743188363,0.908024359663263,0.0940783190066858,0.131827324771778,0.0899596278743198
"DFFA",0.0907230559345157,0.0521409845616079,0.214084201388889,0.310810810810811,0.125,0.276092704930782,0.232298951048951,0.200289375775114,0.15024669743753,0.129339147177077,0.119692830244407,0.0857961669353394,0.116523400191022,0.00185672288410955,0.0567842724240828
"TARDBP",0.264665757162347,0.106903582872124,0.424045138888889,0.644144144144144,0.223214285714286,0.537906361798102,0.56326486013986,0.339293096320794,0.499164411905141,0.430885101081601,0.439636712692904,0.371305749596991,0.300859598853868,0.0147764196193718,0.204932420572231
"MASP2",0.00272851296043656,0.00203903291581707,0.0119357638888889,0,0,0.00871053040908384,0.00885052447552448,0.00527077304671352,0.00453604965780678,0.00226513392604338,0.00472568854758916,0.00429876410531972,0.00764087870105062,0.000232090360513693,0.00675794277690012
"MTOR",0.107094133697135,0.0530148558112438,0.266927083333333,0.387387387387387,0.223214285714286,0.292362731373464,0.244973776223776,0.212071103761885,0.296036925035811,0.206919984144063,0.186073986561323,0.154307719863872,0.141833810888252,0.0114497911186755,0.144813059505003
"FBXO2",0.0163710777626194,0.00830177687154093,0.00217013888888889,0.0225225225225225,0,0.0295535853165345,0.0484047202797203,0.00930136420008268,0.00119369727837021,0.000736168525964098,0.000738388835560806,8.95575855274942e-05,0.00143266475644699,0.000232090360513693,0.0157100228190276
"FBXO44",0.0190995907230559,0.0218467812408972,0.0138888888888889,0.0585585585585586,0,0.0716441126147146,0.066215034965035,0.0297643654402646,0.0299618016870922,0.0187439832380089,0.0141770656427675,0.0102095647501343,0.0128939828080229,0.000386817267522822,0.0243988063893277
"MAD2L2",0.0600272851296044,0.0811243810078648,0.130967881944444,0.162162162162162,0.0446428571428571,0.261471457458392,0.309877622377622,0.132492765605622,0.123468088492758,0.122090718613738,0.168869526692756,0.126903098692459,0.063992359121299,0.00719480117592449,0.0558188520273828
"FBXO6",0.0238744884038199,0.0195164579085348,0.0219184027777778,0.027027027027027,0,0.0818478768082128,0.0628277972027972,0.0482637453493179,0.135643800732134,0.13681408913302,0.118437569223953,0.0767508507970625,0.00620821394460363,0.0105214296766208,0.026592943654555
"DRAXIN",0.000682128240109141,0.00101951645790853,0.00282118055555556,0,0,0.00861720329755794,0.00327797202797203,0.00134353038445639,0.00202928537322935,0.00237839062234555,0.00273203869157498,0.00420920651979223,0.000477554918815664,0.000232090360513693,0.0117605757416184
"AGTRAP",0.0368349249658936,0.182347800757355,0.176649305555556,0.5,0.0446428571428571,0.586871986312024,0.861232517482518,0.38135593220339,0.452809167595098,0.46525850840931,0.368972901129735,0.709027404621171,0.058261700095511,0.0703233792356491,0.0760926803580832
"NPPA",0.00204638472032742,0.00145645208272648,0.00737847222222222,0.0045045045045045,0,0.00659511588116348,0.00295017482517483,0.00361719718892104,0.00875378004138151,0.00390735602242483,0.00738388835560806,0.0103886799211893,0.00477554918815664,7.73634535045644e-05,0.00307179217131824
"MFN2",0.0627557980900409,0.0445674337314302,0.160373263888889,0.207207207207207,0.0982142857142857,0.20522631824545,0.197115384615385,0.116473749483258,0.26321024988063,0.222549408233762,0.20874252381304,0.240193444384739,0.12225405921681,0.049203156428903,0.0639810426540284
"TNFRSF8",0.00954979536152797,0.00320419458199825,0.0161675347222222,0.00900900900900901,0.0267857142857143,0.0171099704464147,0.00426136363636364,0.0058908639933857,0.0396307496418908,0.0302961662608302,0.082404194048586,0.1876231416801,0.000477554918815664,0.0235184898653876,0.00579252238020011
"TNFRSF1B",0.429740791268759,0.0736964753859598,0.446072048611111,0.0405405405405405,0.375,0.136382018976513,0.0750655594405594,0.0829888383629599,2.6131625019895,1.63978707741095,4.21767702872333,6.98961132007881,0.0248328557784145,0.885811542627263,0.806301562225733
"DHRS3",0.0102319236016371,0.138945528692106,0.273654513888889,0.117117117117117,0.401785714285714,0.741857209519365,0.218312937062937,0.596010748243076,0.407528250835588,0.379240047567812,0.332496492653031,0.294823571556511,0.105539637058262,0.00626643973386972,0.124275934702475
"PDPN",0.0115961800818554,0.333527526944364,0.00672743055555556,3.94144144144144,0,2.67095971379686,3.76584353146853,0.837122778007441,0.07532229826516,0.0828472733450365,0.0231115705530532,0.015583019881784,0.00477554918815664,0.00139254216308216,0.00719677022994559
"CASP9",0.217598908594816,0.0196621031168075,0.0575086805555556,0.0540540540540541,0.0625,0.0806035153212008,0.16597465034965,0.0666597767672592,0.22556899570269,0.140325046718387,0.348593369268257,0.480297331183951,0.0783190066857689,0.020423951725205,0.0609092504827102
"ZBTB17",0.112551159618008,0.0292746868628022,0.151584201388889,0.193693693693694,0.0535714285714286,0.131373463991289,0.137128496503497,0.0849524596940885,0.164451695050135,0.161957075712101,0.220187550764232,0.261149919398173,0.0606494746895893,0.0112950642116664,0.0915394067052835
"EPHA2",0.00818553888130969,0.00932129332944946,0.216905381944444,0.40990990990991,0.1875,0.0412194742572717,0.020541958041958,0.0194295163290616,0.00962915804551966,0.00470015289654001,0.0124049324374215,0.0123589468027942,0.0702005730659026,0.000386817267522822,0.000614358434263648
"NECAP2",0.195088676671214,0.0923390620448587,0.319769965277778,0.5,0.169642857142857,0.241997200186654,0.292941433566434,0.19605208763952,0.737227439121439,0.620250297298828,0.40146200989441,0.283449758194519,0.0969436485195797,0.0133065140027851,0.17403896787783
"MFAP2",0.00272851296043656,0.21948732886688,0.0161675347222222,0.594594594594595,0.00892857142857143,0.664053507543942,0.0598776223776224,0.423418768085986,0.00425752029285373,0.0036242142816694,0.00206748873957026,0.0016120365394949,0.0100286532951289,0.000232090360513693,0.00105318588730911
"SDHB",0.164392905866303,0.137052140984562,0.267795138888889,0.504504504504504,0.232142857142857,0.413750194431482,0.521853146853147,0.376085159156676,0.487864077669903,0.501783792966759,0.487115114819464,0.431488447071467,0.294651384909265,0.0261488472845428,0.208794102159031
"PADI2",0.043656207366985,0.00218467812408972,0.000759548611111111,0,0,0.000839944003733085,0.00120192307692308,0.00113683340223233,0.0261817603055865,0.0208392321195991,0.232444805434542,0.104603259896113,0.000955109837631328,0.0650626643973387,0.000877654906090925
"PADI4",0.0156889495225102,0.00233032333236237,0.00238715277777778,0,0,0.00155545185876497,0.00131118881118881,0.000723439437784208,0.0153986948909756,0.019480151763973,0.0930369932806616,0.764553107648218,0.00238777459407832,0.573031100108309,0.0140424784974548
"RCC2",0.211459754433834,0.0757355083017769,0.335069444444444,0.337837837837838,0.0982142857142857,0.394649245605849,0.226507867132867,0.162670525010335,0.768263568359064,0.595786850897559,0.985453739939452,0.701235894680279,0.062559694364852,0.00626643973386972,0.146831665789012
"UBR4",0.517053206002729,0.0971453539178561,0.544379340277778,0.594594594594595,0.392857142857143,0.592689376263805,0.639532342657343,0.418871434477057,0.905220436097406,0.660456424486098,1.04806911319501,1.4749238760523,0.308978032473734,0.149698282531332,0.573898543092856
"CAPZB",0.658253751705321,0.936498689193126,1.9091796875,2.38288288288288,1.28571428571429,3.32686265360087,4.54130244755245,2.17445225299711,4.65689161228712,3.65360439435982,2.53333825592557,2.05892889127709,1.28032473734479,0.353164165248337,0.911707916447253
"NBL1",0.0300136425648022,1.41494319836877,0.439561631944444,0.495495495495495,0.285714285714286,3.24461035930938,5.52982954545455,2.29743695742042,0.202212318955913,0.12480887932499,0.0229638927859411,0.015045674368619,0.398280802292264,0.00355871886120996,0.0605581885202738
"HTR6",0.00136425648021828,0.00131080687445383,0.00423177083333333,0,0,0.00693731529009177,0.00841346153846154,0.00403059115336916,0.00194970555467134,0.000736168525964098,0.00118142213689729,8.95575855274942e-05,0.00143266475644699,0,0.00386168158680007
"PLA2G2A",0.778308321964529,9.20943780949607,0.231011284722222,0.0675675675675676,0,78.7172499611137,143.049497377622,38.9657916494419,0.382102498806303,0.264907412650773,0.204090674149007,0.18583198996955,0.0778414517669532,0.0615039455361287,0.375724065297525
"PLA2G5",0,0.012816778327993,0.00206163194444444,0.00900900900900901,0,0.0779592471613004,0.0184659090909091,0.0420628358825961,0.00107432755053318,0.00130245200747494,0.00155061655467769,0.000537345513164965,0.00668576886341929,7.73634535045644e-05,8.77654906090925e-05
"CAMK2N1",0.00954979536152797,0.106903582872124,0.0232204861111111,0.0405405405405405,0.5625,0.604261938093016,0.085118006993007,0.652335675899132,0.00946999840840363,0.00447363950393567,0.00184597208890202,0.0015224789539674,0.245940783190067,0.00069627108154108,0.0482710198350009
"CDA",0.00477489768076398,0.0643751820565103,0.226779513888889,0.0630630630630631,0.0357142857142857,0.0927049307823923,0.328343531468531,0.384766432410087,0.046673563584275,0.11331332465032,0.150409805803736,0.583825900053735,0.00238777459407832,0.315023982670586,0.00386168158680007
